Depth ID Strategy Param SolutionLength Visited Processed Depth Time
4 5 dfs uldr 4 232880 232878 20 8.863 
4 5 dfs ulrd 4 239827 239826 20 8.614 
4 6 astr hamm 4 13 5 4 0.001 
4 6 astr manh 4 13 5 4 0.001 
4 6 bfs drlu 4 101 51 0 0.004 
4 6 bfs drul 4 101 51 0 0.003 
4 6 bfs ludr 4 146 70 0 0.005 
4 6 bfs lurd 4 124 58 0 0.005 
4 6 bfs rdlu 4 79 39 0 0.003 
4 6 bfs rdul 4 79 39 0 0.003 
4 6 bfs uldr 4 146 70 0 0.005 
4 6 bfs ulrd 4 124 58 0 0.005 
4 6 dfs drlu -1 199456 199456 20 6.306 
4 6 dfs drul 4 179811 179807 20 9.587 
4 6 dfs ludr 18 123550 123539 20 3.911 
4 6 dfs lurd 4 260611 260609 20 9.591 
4 6 dfs rdlu 12 64605 64595 20 2.359 
4 6 dfs rdul 12 34392 34380 20 1.101 
4 6 dfs uldr -1 291102 291102 20 12.379 
4 6 dfs ulrd -1 179506 179506 20 6.144 
4 7 astr hamm 4 12 5 4 0.001 
4 7 astr manh 4 12 5 4 0.001 
4 7 bfs drlu 4 81 37 0 0.003 
4 7 bfs drul 4 93 42 0 0.003 
4 7 bfs ludr 4 87 41 0 0.003 
4 7 bfs lurd 4 84 39 0 0.003 
4 7 bfs rdlu 4 78 35 0 0.003 
4 7 bfs rdul 4 90 40 0 0.004 
4 7 bfs uldr 4 99 46 0 0.005 
4 7 bfs ulrd 4 96 44 0 0.005 
4 7 dfs drlu 16 97047 97032 20 3.044 
4 7 dfs drul -1 308791 308791 20 16.122 
4 7 dfs ludr -1 207250 207250 20 6.629 
4 7 dfs lurd -1 315139 315139 20 10.347 
4 7 dfs rdlu 16 104450 104437 20 3.453 
4 7 dfs rdul 16 104680 104666 20 3.298 
4 7 dfs uldr -1 212046 212046 20 9.157 
4 7 dfs ulrd -1 297538 297538 20 9.991 
4 8 astr hamm 4 13 5 4 0.001 
4 8 astr manh 4 13 5 4 0.001 
4 8 bfs drlu 4 82 41 0 0.003 
4 8 bfs drul 4 82 41 0 0.003 
4 8 bfs ludr 4 127 60 0 0.004 
4 8 bfs lurd 4 143 68 0 0.007 
4 8 bfs rdlu 4 98 49 0 0.003 
4 8 bfs rdul 4 98 49 0 0.003 
4 8 bfs uldr 4 127 60 0 0.004 
4 8 bfs ulrd 4 143 68 0 0.005 
4 8 dfs drlu -1 199456 199456 20 7.378 
4 8 dfs drul -1 329285 329285 20 17.825 
4 8 dfs ludr -1 179506 179506 20 6.585 
4 8 dfs lurd -1 291102 291102 20 10.643 
4 8 dfs rdlu -1 329285 329285 20 10.781 
4 8 dfs rdul -1 199456 199456 20 6.602 
4 8 dfs uldr -1 291102 291102 20 11.552 
4 8 dfs ulrd -1 179506 179506 20 6.038 
4 9 astr hamm 4 12 5 4 0.001 
4 9 astr manh 4 12 5 4 0.001 
4 9 bfs drlu 4 77 35 0 0.008 
4 9 bfs drul 4 77 35 0 0.002 
4 9 bfs ludr 4 121 56 0 0.004 
4 9 bfs lurd 4 100 46 0 0.003 
4 9 bfs rdlu 4 56 25 0 0.002 
4 9 bfs rdul 4 56 25 0 0.002 
4 9 bfs uldr 4 121 56 0 0.004 
4 9 bfs ulrd 4 100 46 0 0.003 
4 9 dfs drlu -1 297538 297538 20 10.959 
4 9 dfs drul 12 88597 88587 20 4.54 
4 9 dfs ludr -1 259908 259908 20 8.271 
4 9 dfs lurd -1 254768 254768 20 9.281 
4 9 dfs rdlu 4 12 5 4 0.0 
4 9 dfs rdul 4 12 5 4 0.001 
4 9 dfs uldr 14 290418 290411 20 12.325 
4 9 dfs ulrd -1 318137 318137 20 10.847 
4 10 astr hamm 4 12 5 4 0.001 
4 10 astr manh 4 12 5 4 0.001 
4 10 bfs drlu 4 93 42 0 0.003 
4 10 bfs drul 4 81 37 0 0.003 
4 10 bfs ludr 4 99 46 0 0.003 
4 10 bfs lurd 4 96 44 0 0.003 
4 10 bfs rdlu 4 90 40 0 0.003 
4 10 bfs rdul 4 78 35 0 0.003 
4 10 bfs uldr 4 87 41 0 0.003 
4 10 bfs ulrd 4 84 39 0 0.003 
4 10 dfs drlu -1 259908 259908 20 9.589 
4 10 dfs drul 16 104472 104459 20 5.555 
4 10 dfs ludr -1 297538 297538 20 10.393 
4 10 dfs lurd -1 212046 212046 20 6.89 
4 10 dfs rdlu 4 205132 205129 20 6.547 
4 10 dfs rdul 16 96989 96973 20 3.149 
4 10 dfs uldr 4 165840 165838 20 7.523 
4 10 dfs ulrd 4 166648 166645 20 5.771 
4 11 astr hamm 4 11 5 4 0.001 
4 11 astr manh 4 11 5 4 0.001 
4 11 bfs drlu 4 61 27 0 0.002 
4 11 bfs drul 4 61 27 0 0.004 
4 11 bfs ludr 4 116 54 0 0.004 
4 11 bfs lurd 4 116 54 0 0.004 
4 11 bfs rdlu 4 61 27 0 0.003 
4 11 bfs rdul 4 61 27 0 0.002 
4 11 bfs uldr 4 116 54 0 0.004 
4 11 bfs ulrd 4 116 54 0 0.004 
4 11 dfs drlu 10 22 11 10 0.001 
4 11 dfs drul -1 254768 254768 20 13.64 
4 11 dfs ludr 16 121776 121766 20 3.835 
4 11 dfs lurd -1 212046 212046 20 7.824 
4 11 dfs rdlu 10 22 11 10 0.001 
4 11 dfs rdul -1 318137 318137 20 10.246 
4 11 dfs uldr 4 248119 248118 20 9.312 
4 11 dfs ulrd -1 207250 207250 20 6.899 
4 12 astr hamm 4 12 6 4 0.001 
4 12 astr manh 4 10 5 4 0.001 
4 12 bfs drlu 4 51 22 0 0.002 
4 12 bfs drul 4 68 30 0 0.003 
4 12 bfs ludr 4 67 29 0 0.002 
4 12 bfs lurd 4 67 29 0 0.002 
4 12 bfs rdlu 4 51 22 0 0.002 
4 12 bfs rdul 4 68 30 0 0.003 
4 12 bfs uldr 4 84 37 0 0.003 
4 12 bfs ulrd 4 84 37 0 0.003 
4 12 dfs drlu 4 50719 50715 20 2.687 
4 12 dfs drul -1 279153 279153 20 14.205 
4 12 dfs ludr 4 168383 168382 20 6.373 
4 12 dfs lurd -1 151451 151451 20 4.939 
4 12 dfs rdlu -1 279153 279153 20 9.07 
4 12 dfs rdul 8 50726 50719 20 1.665 
4 12 dfs uldr -1 151451 151451 20 5.435 
4 12 dfs ulrd -1 225808 225808 20 7.633 
4 13 astr hamm 4 12 5 4 0.001 
4 13 astr manh 4 12 5 4 0.001 
4 13 bfs drlu 4 56 25 0 0.002 
4 13 bfs drul 4 56 25 0 0.002 
4 13 bfs ludr 4 100 46 0 0.003 
4 13 bfs lurd 4 121 56 0 0.004 
4 13 bfs rdlu 4 77 35 0 0.002 
4 13 bfs rdul 4 77 35 0 0.002 
4 13 bfs uldr 4 100 46 0 0.003 
4 13 bfs ulrd 4 121 56 0 0.004 
4 13 dfs drlu 4 12 5 4 0.001 
4 13 dfs drul 4 12 5 4 0.001 
4 13 dfs ludr -1 318137 318137 20 10.187 
4 13 dfs lurd 14 290418 290411 20 10.489 
4 13 dfs rdlu 12 88597 88587 20 2.798 
4 13 dfs rdul -1 297538 297538 20 9.621 
4 13 dfs uldr -1 254768 254768 20 9.218 
4 13 dfs ulrd -1 259908 259908 20 8.705 
4 14 astr hamm 4 13 5 4 0.001 
4 14 astr manh 4 13 5 4 0.001 
4 14 bfs drlu 4 98 49 0 0.003 
4 14 bfs drul 4 98 49 0 0.003 
4 14 bfs ludr 4 143 68 0 0.005 
4 14 bfs lurd 4 127 60 0 0.004 
4 14 bfs rdlu 4 82 41 0 0.003 
4 14 bfs rdul 4 82 41 0 0.003 
4 14 bfs uldr 4 143 68 0 0.005 
4 14 bfs ulrd 4 127 60 0 0.004 
4 14 dfs drlu -1 199456 199456 20 9.622 
4 14 dfs drul -1 329285 329285 20 17.484 
